OG	geneID	spc
OG0000000	787269	Hbta
OG0000000	519935	Hbta
OG0000000	616776	Hbta
OG0000000	522960	Hbta
OG0000000	107132393	Hbta
OG0000000	613363	Hbta
OG0000000	107132619	Hbta
OG0000000	618012	Hbta
OG0000000	617043	Hbta
OG0000000	505183	Hbta
OG0000000	104968456	Hbta
OG0000000	3017	Hsap
OG0000000	8340	Hsap
OG0000000	8339	Hsap
OG0000000	8347	Hsap
OG0000000	8343	Hsap
OG0000000	8346	Hsap
OG0000000	8341	Hsap
OG0000000	102724334	Hsap
OG0000000	54145	Hsap
OG0000000	85236	Hsap
OG0000000	8344	Hsap
OG0000000	8345	Hsap
OG0000000	8348	Hsap
OG0000000	128312	Hsap
OG0000000	440689	Hsap
OG0000000	8349	Hsap
OG0000000	8970	Hsap
OG0000000	3018	Hsap
OG0000000	8342	Hsap
OG0000000	100515302	Sscr
OG0000000	100738744	Sscr
OG0000000	102162202	Sscr
OG0000000	100738859	Sscr
OG0000000	110255273	Sscr
OG0000000	110261486	Sscr
OG0000000	110261670	Sscr
OG0000000	100156127	Sscr
OG0000000	100157327	Sscr
OG0000000	100156937	Sscr
OG0000000	110261669	Sscr
OG0000000	110261672	Sscr
OG0000000	100156932	Sscr
OG0000000	100512420	Sscr
OG0000000	110261671	Sscr
OG0000000	110261663	Sscr
OG0000001	102394028	Bbub
OG0000001	102399141	Bbub
OG0000001	102390853	Bbub
OG0000001	112583543	Bbub
OG0000001	102392184	Bbub
OG0000001	102391865	Bbub
OG0000001	102391532	Bbub
OG0000001	112583874	Bbub
OG0000001	102389633	Bbub
OG0000001	102391609	Bbub
OG0000001	102414778	Bbub
OG0000001	102389972	Bbub
OG0000001	112583542	Bbub
OG0000001	102413467	Bbub
OG0000001	112583862	Bbub
OG0000001	112583863	Bbub
OG0000001	112583871	Bbub
OG0000001	112583872	Bbub
OG0000001	102410967	Bbub
OG0000001	100861164	Chir
OG0000001	108635144	Chir
OG0000001	108635454	Chir
OG0000001	108636620	Chir
OG0000001	108636623	Chir
OG0000001	108635503	Chir
OG0000001	108636628	Chir
OG0000001	108636595	Chir
OG0000001	102178068	Chir
OG0000001	108636612	Chir
OG0000001	108636625	Chir
OG0000001	102180392	Chir
OG0000001	108634973	Chir
OG0000001	108636616	Chir
OG0000001	108636617	Chir
OG0000001	108635455	Chir
OG0000001	102180492	Chir
OG0000001	108636618	Chir
OG0000001	108634918	Chir
OG0000001	108635561	Chir
OG0000001	108634976	Chir
OG0000001	108636626	Chir
OG0000001	108634604	Chir
OG0000001	108634662	Chir
OG0000001	108636615	Chir
OG0000001	108635001	Chir
OG0000001	108636624	Chir
OG0000001	108635507	Chir
OG0000001	108636613	Chir
OG0000001	102178353	Chir
OG0000001	108633271	Chir
OG0000001	108636630	Chir
OG0000001	102179668	Chir
OG0000001	108635000	Chir
OG0000001	113896977	Hbin
OG0000001	113888614	Hbin
OG0000001	113897797	Hbin
OG0000001	113897798	Hbin
OG0000001	113896984	Hbin
OG0000001	113897792	Hbin
OG0000001	113896986	Hbin
OG0000001	113896975	Hbin
OG0000001	113888601	Hbin
OG0000001	113888613	Hbin
OG0000001	113888609	Hbin
OG0000001	113896976	Hbin
OG0000001	113888611	Hbin
OG0000001	113897788	Hbin
OG0000001	113896968	Hbin
OG0000001	113896969	Hbin
OG0000001	113896971	Hbin
OG0000001	113897800	Hbin
OG0000001	113896978	Hbin
OG0000001	113897789	Hbin
OG0000001	113888606	Hbin
OG0000001	113896987	Hbin
OG0000001	113888605	Hbin
OG0000001	113896981	Hbin
OG0000001	113888615	Hbin
OG0000001	104968438	Hbta
OG0000001	100299481	Hbta
OG0000001	781778	Hbta
OG0000001	281847	Hbta
OG0000001	781853	Hbta
OG0000001	515953	Hbta
OG0000001	781948	Hbta
OG0000001	618801	Hbta
OG0000001	617112	Hbta
OG0000001	618985	Hbta
OG0000001	617135	Hbta
OG0000001	513706	Hbta
OG0000001	618859	Hbta
OG0000001	100847720	Hbta
OG0000001	112445660	Hbta
OG0000001	317698	Hbta
OG0000001	100313956	Hbta
OG0000001	528513	Hbta
OG0000001	523509	Hbta
OG0000001	101908039	Hbta
OG0000001	515485	Hbta
OG0000001	619113	Hbta
OG0000001	100298530	Hbta
OG0000001	100298573	Hbta
OG0000001	509166	Hbta
OG0000001	618943	Hbta
OG0000001	3467	Hsap
OG0000001	100152132	Sscr
OG0000001	100154075	Sscr
OG0000001	100156149	Sscr
OG0000001	100155760	Sscr
OG0000001	100310808	Sscr
OG0000001	100154098	Sscr
OG0000001	100154912	Sscr
OG0000002	102415072	Bbub
OG0000002	102402131	Bbub
OG0000002	102413094	Bbub
OG0000002	102413735	Bbub
OG0000002	102414738	Bbub
OG0000002	102389168	Bbub
OG0000002	102408136	Bbub
OG0000002	102392737	Bbub
