yourlist:M20210221A94466D2655679D1FD8953E075198DA8046206A	Entry
338755	A0A126GWC6
341568	Q8NH09
100529240	Q8N8H1
100529240	A0A0X1KG74
125893	Q0VGE8
125893	A0A024R4J0
147660	Q96N58
147660	Q3MI94
162966	Q6ZNG1
162966	A0A3B3IT03
81856	Q8N823
388558	Q8N4W9
344787	A6NHJ4
388561	Q86XN6
388561	Q6IQ01
126017	Q6ZN06
170958	J3KR51
170958	J3KR62
91661	Q7L2R6
91664	Q96IR2
55762	Q9NV72
55762	Q6NWZ7
388559	P0CJ79
7576	P17035
90333	Q5VIY5
162967	A2RRD8
162962	Q6ZNA1
284371	Q6ZN19
90317	Q08AN1
55786	Q09FC8
55786	B3KTG1
79788	Q9H7R5
90338	Q9HCG1
90338	A0A024R4Q2
90338	M0QZI7
84671	Q96SE7
84671	A0A024R4L7
84671	A8K1S9
147657	Q8WV37
147657	B7Z8E1
147657	F8WEZ9
162963	Q8N9Z0
400713	Q6PDB4
84436	Q3MIS6
147658	Q76KX8
147658	Q1T7F5
147658	Q1T7F6
90321	Q5HY98
55769	P51522
55769	A0A024R4L3
55769	B3KQJ6
1277	P02452
1280	P02458
1278	P08123
1278	A0A0S2Z3H5
1281	P02461
1290	P05997
100533952	A0A0A6YYG8
57786	Q9NYW8
84765	Q9BSK1
84765	A0A024R4N6
114026	Q96PE6
199704	Q6P3V2
199704	A0A0C4DFY4
92285	Q52M93
7587	P17032
7587	A0A1B0GVV4
219749	P17030
140883	Q86YH2
140883	A0A0D9SEJ8
140883	B3KUN2
319100	Q96RI8
83551	Q969N4
2948	Q03013
2948	A0A140VKE3
2944	P09488
2944	X5D932
2944	X5DR03
2946	P28161
2946	A0A384P5E9
2946	Q0D2I8
2949	P46439
2949	Q5T8R2
248	P09923
248	A0A024R4A2
250	P05187
250	B2R7C7
251	P10696
219869	Q8NGN5
219869	A0A126GVX3
390265	Q8NGN6
390265	A0A126GWF3
219870	Q8NGN4
390264	Q8NGN3
