yourlist:M20210221A94466D2655679D1FD8953E075198DA8046206A	Entry
79915	Q96QE3
55057	Q8N1P7
55057	Q9NWG5
23225	Q8TEM1
10743	Q7Z5J4
57523	Q9P2P1
23303	Q9NQT8
5125	Q92824
23505	Q92545
10763	P48681
10763	Q9H6U9
55614	Q96L93
55614	A0A140VK74
55614	A0A1B0GTU3
22984	Q14690
22984	A0A3B3IUD7
55704	Q3V6T2
55704	A0A2U3TZV9
55704	O14997
54822	Q96QT4
54822	A0A024R5V1
54822	H0YLN8
84166	Q86WI3
84166	Q6MZW3
84166	Q9H6Y0
23198	Q14997
197335	Q96KV7
9044	O14981
9044	Q2M1V9
9044	Q8N6J1
672	P38398
672	A0A024R1V0
80309	Q2M3C7
55904	Q8IZD2
7082	Q07157
7082	A9CQZ8
7082	B4DZK4
7082	G3V1L9
7082	G5E9E7
7082	Q6MZU1
25758	Q6ZVL6
25758	Q12914
7249	P49815
7249	B3KWH7
7249	H3BMQ0
7249	Q5HYF7
7249	X5D7Q2
4053	Q14767
151254	Q53TS8
151254	A0A140VJE2
22941	Q9UPX8
22941	A0A590UJ45
22941	A6NHU9
22941	C0SPH0
85461	Q9C0D5
85461	B9EK39
85301	Q8IZC6
23053	A7E2V4
7701	P52746
196528	Q68CP9
79832	Q2KHR3
79832	B3KWV1
54914	Q5VW36
54914	B3KNV9
285556	D6RIA3
65217	Q96QU1
65217	A0A087WTR6
65217	A0A087WZN9
65217	A0A087X1T6
65217	A2A3D8
65217	A2A3E6
65217	A2A3E7
65217	A2A3E8
65217	A9Z1W1
65217	E7EM53
65217	E7EMG0
55023	Q8WWQ0
9726	O15015
9758	Q14CM0
3691	P16144
3691	A0A024R8K7
3691	A0A024R8N2
3691	A0A024R8T0
3691	B7ZLD8
23116	Q9Y4F4
23116	B4DHM7
23116	G3XAE9
23116	Q6P183
84074	Q9H0J4
3910	Q16363
3910	A0A0A0MQS9
3910	A0A0A0MTC7
3910	Q5D044
4008	Q8WWI1
4008	A0A0A0MTE2
4008	E9PMT2
4008	F8J2B5
4008	F8WD26
4928	P52948
23112	Q9UPQ9
23112	A0A024R1N5
165904	Q702N8
341019	M0R2J8
341019	B6ZDN3
92949	Q8N6G6
92949	Q6MZQ3
23139	Q6P0Q8
23139	A0A669KBJ4
143	Q9UKK3
1301	P12107
1301	Q59HB5
26037	O43166
7373	Q05707
3913	P55268
85379	Q9BY89
254065	Q6RI45
161497	Q7RTU9
54625	Q460N5
54625	Q8N546
284697	Q9UPP5
284697	B4DYL8
63971	Q9H1H9
5930	Q7Z6E9
57498	Q9ULH0
80781	P39060
80781	D3DSM4
80781	D3DSM5
200424	O43151
60676	Q9BXP8
65267	Q9BYP7
54897	Q86V15
54897	B3KRV8
3912	P07942
3912	G3XAI2
3912	Q8TAS6
63035	Q5H9F3
11280	Q9UI33
11280	A0A6Q8PGY3
4301	P55196
4301	A8MQ02
4301	G1UI22
4301	J3KN01
85456	Q9C0C2
85456	A0A024R542
22995	O94986
22995	Q3B7A2
23094	O60292
23094	B2RWP0
6453	Q15811
6453	A7XZY7
6453	F8W7U0
6453	Q6PD56
8672	O43432
8672	A0A0A0MSA7
8672	Q59GJ0
84464	Q8IY92
55728	Q86UW6
55728	B2ZZ87
26046	O94822
51780	Q7LBC6
255631	Q17RW2
255631	F8WDM8
23511	Q5SRE5
23304	Q8IWV8
23304	B3KXG6
5493	O60437
56776	Q9NZ56
56776	Q9HBL1
197131	Q8IWV7
26160	Q9UG01
26160	A0A6Q8PGJ2
23513	Q14160
23513	A0A0G2JNZ2
23513	A0A0G2JPP5
23513	A0PJK8
79834	Q9H792
9940	Q9Y238
9940	B1B5Y4
50509	P25940
6239	Q92766
6239	A0A024QZU8
55777	Q9P267
54843	Q9HCH5
54843	A0A0U1RR07
55930	Q9NQX4
54464	Q8IZH2
55196	Q9HCM1
1302	P13942
1302	A0A0C4DFS1
1302	H0YIS1
1302	Q4VXY6
5287	O00750
5287	A2RUF7
5287	Q4LE65
9590	Q02952
9590	Q86TJ9
9665	Q9Y4F3
4892	Q86VF7
4892	A0A0A0MRM2
57538	Q96L96
6830	Q7KZ85
116984	Q8WZ64
116984	A7E2A5
375616	Q6ZWJ8
23041	Q7Z3U7
23041	A0A286YFF8
23041	B7ZM73
25885	O95602
57481	Q9ULL0
340390	A6NE52
84458	Q96JN0
84444	Q8TEK3
6614	Q9BZZ2
57568	Q9P2F8
57568	A0A6Q8PH54
9699	Q9UQ26
55193	Q86U86
4052	Q14766
4052	B7ZLY3
727957	Q8NDA8
727957	B4DIR5
9739	O15047
64283	Q8N1W1
10580	Q9BX66
10580	B4DTX5
23007	Q4KWH8
84125	Q96JM4
84125	A0A140VJN5
80217	Q8NDM7
80217	Q5TA04
7799	Q13029
5927	P29375
159195	Q70EL1
159195	B7Z7X1
22999	Q86UR5
22999	B7Z7W2
22999	B7Z9Z3
22999	Q3ZCW0
25890	Q7Z7G0
5286	O00443
5286	B4DG55
5286	L7RRS0
26230	Q8IVF5
26230	B3KW11
6332	Q01118
51585	O94913
257218	Q149N8
257218	B3KX98
9648	Q8IWJ2
9648	B3KR21
23261	Q9Y6Y1
50618	Q9NZM3
50618	A6H8W8
11173	Q9UKP4
11173	Q9UFZ4
85378	Q96RT7
23318	Q5TAX3
23318	A0A0C4DFM7
23272	Q9UK61
284297	A1L4H1
23082	Q5VV67
23082	E7EVG6
125336	Q8IVV2
125336	B7Z7T7
125336	F5GZB4
125336	J3QKX9
140710	O94964
140710	X6R3R3
23185	Q92615
718	P01024
718	B4DR57
718	V9HWA9
56163	Q9BXT8
56163	B7Z7S1
729359	A0A0J9YXN7
57679	Q96Q42
57679	A8K4R4
9859	Q5SW79
1786	P26358
1786	I6L9H2
1786	Q59FP7
8567	Q8WXG6
8567	A0A0A0MRB5
6091	Q9Y6N7
6091	Q1RMC8
375337	Q8N9V7
23091	Q5T200
23091	A0PJJ2
23091	B3KQG8
8736	P52179
85452	Q9C0B2
440275	Q9P2K8
100499483	Q9P1Z9
100499483	B4DZK1
221981	Q9UPZ6
23461	Q8WWZ7
23135	O15054
83992	Q8WZ74
83992	Q20BG9
4810	Q6T4R5
128239	Q86VI3
1307	Q07092
5069	Q13219
5069	B4DTA8
5069	Q7Z613
79747	Q8N7X0
79747	Q9H5S1
57545	Q9P2K1
23072	Q76N89
53904	Q8NEV4
1523	P39880
1523	Q13948
1523	Q3LIA3
8425	Q8N2S1
8425	A0A0C4DH07
8425	B3KXY6
55561	Q6DT37
10319	Q9Y6N6
10319	Q8N2D6
2036	Q9H4G0
2036	A0A0C4DH22
2036	B7Z653
25930	Q9H3S7
25930	B4DST5
79741	Q96M83
79741	A0A384NKY2
55811	Q96PN6
55811	A0A0K0K1J8
169044	Q8NFW1
6894	Q13395
284498	Q5SNV9
284498	A2VCK6
284498	Q8NDG0
2737	P10071
2737	A0A2R8YGX0
8867	O43426
8867	A0A0D9SGJ6
8867	B9EGN3
8867	C9JFZ1
8867	J3KQV8
8867	Q05CZ1
57661	Q9P1Y6
57661	A0A024RCA1
57661	B7ZM65
57661	B7ZM66
57661	E9PJ24
57661	F8WEF5
1981	Q04637
1981	B2RU06
1981	B2RU10
1981	B4DSI9
1981	O95065
1981	Q96I65
3915	P11047
3915	Q6NVY8
283638	Q9Y4F5
80731	Q9C0I4
26040	Q9Y6X0
84669	Q8NFA0
128611	Q5JPB2
254102	Q8N3D4
7399	O75445
4216	Q9Y6R4
4216	Q9P1M2
23240	A2VDJ0
23240	B3KU55
81792	P58397
81792	D6REX0
27245	Q5TGY3
654463	Q2WGJ9
64759	Q68CZ2
57554	A0A075B6E9
9681	O75140
7074	Q13009
7074	A0A2X0TW27
9821	Q8TDY2
29998	Q9NZM4
23284	Q9HAR2
23284	B7Z2G2
23284	E7ESV6
23284	E7EUP0
23284	E7EUW2
23284	E7EVD6
133558	Q7Z745
133558	B3KXY2
133558	Q4G0Z6
84976	Q96F81
6238	Q9P2E9
79065	Q7Z3C6
79065	A0A024R438
22844	Q5SYB0
148113	Q8IUL8
203447	Q7Z2Y5
5469	Q15648
10154	O60486
9826	O15085
79670	Q5VYS8
79670	Q96KX5
79670	X6R3Q3
157922	Q5T5Y3
157922	A0A384NY94
9786	Q9BVV6
9786	A0A087WYM5
9786	A0A494C171
9786	B4DYW5
9786	B7Z7W7
22983	Q9Y2H9
57520	Q9P2P5
57520	A0A2R8Y6F3
9742	Q96RY7
57480	Q9ULL1
57480	Q5JYA6
127254	Q5RHP9
284434	Q149M9
23255	Q9Y4B5
84461	Q96JN8
56155	Q8IWB6
576	O60241
2736	P10070
2736	Q1PSW9
2736	Q59FV5
375748	Q5T890
11177	Q9NRL2
57224	Q5SYE7
56995	Q9NRJ4
9202	Q5VZL5
2015	Q14246
2015	A8K2Y6
2015	A8K653
171023	Q8IXJ9
171023	Q498B9
64411	Q8WWN8
64411	Q05CH1
64411	Q9H7C1
23336	O15061
23336	A0A075B7B1
9765	Q7Z3T8
473	Q9P2R6
10725	O94916
10725	A0A024R734
57477	Q9ULL8
57579	Q9P2D6
57579	D6RCC7
23365	Q9NZN5
23365	B4E2K6
23365	E9PMR6
23239	O60346
1244	Q92887
22998	Q9UPQ0
22998	B7Z2J4
22998	B7Z656
22998	D6RD46
22998	E9PDJ9
22998	G5EA03
23131	Q9UKJ3
10765	Q9UGL1
10765	A0A3B3ITA8
7226	O94759
7226	B4DVI8
7226	Q14DR2
23074	A0JNW5
80122	Q56UN5
374786	A4FU69
8621	Q14004
8621	A0A024RA66
8621	A0A024RA85
8621	Q9BVE2
285025	Q6ZP82
285025	B8ZZB3
55701	Q8TER5
10395	Q96QB1
10395	A8K119
6586	O75094
577	O60242
9853	Q8N2Y8
9816	Q14146
23096	Q5JU85
23096	A0A6Q8PFR7
11073	Q92547
11073	A0AV47
11073	A7E2X7
11073	Q05BV8
607	O00512
607	A0A024QYY4
607	Q1JQ81
80345	Q9H4T2
80345	B4DFB7
2058	P07814
9172	P54296
284403	O43379
127294	Q5VTT5
340533	Q5QGS0
148229	O60423
23504	O15034
23504	A0A2R8Y6Z0
57507	Q9ULD9
57507	B3KPE6
2802	Q08378
11188	Q9Y2I1
5422	P09884
5422	A6NMQ1
25929	Q8TEQ6
25929	B7ZLC9
25929	Q58EZ8
27030	Q9UHC1
27030	Q2M1Z1
23005	O60336
57148	Q86X10
57148	Q6MZJ2
4214	Q13233
9730	Q9Y4B6
10216	Q92954
54454	Q9ULI0
54454	B3KWS5
23277	O75153
368	O95255
394	Q13017
23026	Q9Y6X6
23026	F8W883
23316	O14529
9909	O75064
1373	P31327
1373	A0A024R454
1373	Q6PEK7
9863	Q86UL8
9863	B7Z4H4
2909	Q9NRY4
538	Q04656
538	B4DRW0
538	Q762B6
64800	Q5THR3
8455	O75882
8455	B4DZ36
283149	Q86UU0
283149	A0A087WZX0
57636	Q9P227
4756	Q92859
4756	Q59FP8
22853	Q8IWU2
130271	Q8IVE3
89845	Q5T3U5
89845	A0A024RD21
51755	Q9NYV4
23248	Q5VT52
5288	O75747
5288	B7ZLY6
5288	F5H369
8871	O15056
8871	A0A1W2PR85
8871	B4DG94
57194	O60312
23335	Q9Y4E6
1308	Q9UMD9
9716	O60306
9716	A0A024R9L1
9223	Q96QZ7
57493	Q9ULI3
9849	Q6AHZ1
23310	P42695
9031	Q9UIG0
9972	P49790
2074	P0DP91
2074	Q03468
2074	A8K4Q3
2074	Q59FF6
1080	P13569
1080	A0A024R730
9902	Q9UBG0
114827	B1AJZ9
55209	Q9C0A6
55209	E7EWN3
11214	Q12802
11214	A8MYJ1
11214	B0AZU4
260425	Q5TCQ9
9475	O75116
9475	A0A2P9DU05
9475	Q14DU5
343099	Q5T9S5
343099	E9PFB9
343099	Q6PH87
343099	Q7Z659
6249	P30622
6249	A0A024RBR1
6249	B3KXA5
22897	Q9UPV0
57524	Q8WXD9
4842	P29475
4842	A0PJJ7
4842	B3VK56
4842	B4DG68
23132	Q9Y4B4
23132	B3KV54
158401	Q5VXU9
158401	Q6ZU10
10499	Q15596
10499	B4DPW8
23120	O94823
23120	A0A2R8YDI5
116985	Q96P48
2903	Q12879
2903	A0A6Q8PGD2
2903	Q547U9
2903	Q59EW6
22925	Q13018
22925	B7ZML4
283234	A6NC98
283234	B2RTU8
4820	P30414
23271	Q08AD1
23271	B3KTI4
152273	Q6ZNL6
152273	A0A2X0SFF2
152273	B7ZM68
64864	Q2KHR2
64864	A0A669KBM4
151056	Q6P1J6
151056	B2RWP8
26130	Q14C86
26130	A0A024R862
26130	A0A024R875
26130	A0A024R8A2
26130	B4DGD8
26130	F8W9S7
55914	Q96RT1
144568	A8K2U0
144568	B3KVV6
6949	Q13428
6949	B4DRA2
6949	E7ETY2
6949	H0Y8Y7
10388	Q9BX26
25992	Q8TER0
4360	P22897
6092	Q9HCK4
57514	Q2M1Z3
79443	Q9BQS8
5727	Q13635
9169	Q99590
57589	Q4ADV7
8411	Q15075
29894	Q10570
8603	P78312
114783	A0A0A0MQW5
114783	A0A3B3ISL5
2175	O15360
22878	Q9Y2L5
5793	P23470
5793	Q49A02
54904	Q9BZ95
540	P35670
540	A0A024RDX3
540	A0A669KB88
540	B7ZLR3
540	B7ZLR4
540	E7ET55
2177	Q9BXW9
150709	Q7Z5J8
150709	Q70AK8
135228	Q6YHK3
1630	P43146
1630	Q49AK4
55252	Q76L83
146206	Q6F5E8
54887	Q6BDS2
8648	Q15788
10734	Q9UJ98
10734	D6W5U7
1612	P53355
1612	B4DHI4
1612	Q59H88
57182	Q9ULJ7
57182	Q8TB46
84144	Q5VT97
10057	O15440
64221	Q96MS0
64221	F5GWJ5
80206	Q2V2M9
22997	Q9UPX0
22997	Q8N7W7
57482	Q6ZU35
89766	Q5DID0
118461	Q711Q0
4671	Q13075
10427	O95487
10427	B4DTM6
4863	Q14207
57716	Q9BXM0
55604	Q5VZK9
80709	Q7Z591
80709	Q64FY1
55785	Q6ZV73
57205	Q9P241
641	P54132
641	B7ZKN7
641	H0YNU5
85464	Q76I76
85464	A0A3B3ITS1
85464	B4DK64
85464	F5H527
64848	Q9H6S0
54875	Q9NXG0
54875	B1AMC8
51773	Q96T23
51773	Q05DG0
387707	Q6DHV5
9462	Q9UJF2
9462	A8K2P3
23371	Q63HR2
23371	A0A024RB48
64857	Q9H7P9
9372	O95405
90957	Q6P158
342184	Q68DA7
342184	A0A5F9ZHS8
342184	H0YM30
85455	A7MBM2
23293	Q86US8
25998	Q9P2D0
25998	B7ZLE0
25998	E7EPI0
55075	Q9BZF9
23126	Q7Z3K3
8202	Q9Y6Q9
8202	Q59EE8
55689	Q9ULM3
23060	O15014
3899	P51826
3899	Q8NAP7
11093	Q76LX8
7486	Q14191
157285	Q86YV5
23418	P82279
23418	A0A7D6VM04
23418	A8K118
23418	B7Z824
23418	B7Z826
23418	F5H0L2
122402	Q8NDG6
122402	Q86WA0
22904	Q9Y2G9
9778	Q92628
9778	A5YKK5
49855	Q9BY12
347240	Q5T7B8
51059	Q49AJ0
23644	Q6P2E9
9895	O15040
11128	O14802
9651	O75038
22832	Q5TB80
23279	Q12769
63967	Q9HAW4
115703	O14559
115703	A1A5D2
4486	Q04912
4486	B4E058
4486	G9JXB8
84630	Q5TCY1
23370	Q6ZSZ5
23370	A0A087WZG4
8831	Q96PV0
8831	A0A1U9X8L0
8831	B7ZCA0
5795	Q12913
5795	Q9NPR5
9918	Q15021
9918	B3KMS0
9918	B3KY03
9745	O15090
55582	Q86VH2
26015	Q9BWH6
26015	A8K2F9
6002	O14924
57540	Q9P2K9
25782	Q9H2M9
55206	A3KN83
10128	P42704
10128	E5KNY5
9631	O75694
9631	A0A024R071
9631	B4DLT2
9631	E9PF10
8506	P78357
57701	Q9HCH0
374654	Q2M1P5
56992	Q9NS87
56992	C9JKA9
164045	A2PYH4
54436	Q8TE82
54436	B3KWX8
4233	P08581
4233	A0A024R728
4233	A0A024R759
4233	B4DLF5
4233	E6Y365
26873	O14841
26033	Q5VV63
26033	Q4G0Y2
79628	Q8TF17
79628	A0A514TP98
3643	P06213
7750	Q9UBW7
7750	A0A024RDS3
7750	A8K126
9625	Q6ZMQ8
9625	H7C175
10908	Q8IY17
10908	A0A384DVU0
23187	Q86UU1
23187	A0A024R3F4
23187	A0A024R3H6
23187	Q6ZUD6
23187	Q8NC75
23476	O60885
23476	A0A024R7H8
85320	Q96J66
85320	A0A024R6Q6
85320	A0A024R6R9
221395	Q8IZF2
1362	O75976
9439	Q9ULK4
9439	Q05DL5
23093	Q6EMB2
4796	Q96HA7
57529	Q8NET4
1306	P39059
1306	B3KTP7
8661	Q14152
27443	Q9BXF3
27443	B7WPH3
55031	Q96K76
55031	Q68D97
3603	Q14005
3603	Q9UME6
57605	Q9BZ72
57605	Q9UF51
9203	Q14202
9203	A8K3Z7
23114	O94856
23114	B4DRH7
9772	Q12767
9772	A0A024R8S6
9772	B7Z9U5
5198	O15067
5198	A8K9T9
5198	Q6P4B4
90668	Q8ND23
84146	Q9H582
84146	A7E234
84215	Q9H0D2
3480	P08069
3480	C9J5X1
90102	Q86SQ0
23031	O60307
1463	O14594
1463	A0A024R7M3
1463	Q4LE67
7468	O96028
2324	P35916
23281	Q5JR59
23387	Q9Y2K2
23387	A1A5A9
54505	Q7Z478
9737	Q5JY77
375775	Q6ZV29
152485	Q17R98
152485	B3KSR1
152485	H0Y9M2
10869	O94966
9639	O15013
2956	P52701
2956	Q3SWU9
57214	Q8WUJ3
10277	O95155
7143	Q92752
7143	A1L306
3895	Q86UP2
3895	A0A024R663
10514	Q9BQG0
3791	P35968
55835	Q9HC77
55835	A8K8P1
55835	F6VUX8
23035	Q6ZVD8
6093	Q13464
23022	Q8WX93
23022	B2RTX2
115	O60503
57521	Q8N122
57521	Q6DKI0
57478	Q70CQ4
219578	A4D1E1
54477	Q9HAU0
54477	A0A024RAY7
22828	Q9UPN6
22828	A0A0A0MT33
22828	B7Z3A4
22828	B7Z876
8660	Q9Y4H2
8660	Q9P084
23670	Q9UHN6
23670	A0A024R229
84678	Q8NHM5
84678	B4DSN4
23162	Q9UPT6
23162	A0A087WYG2
23162	B7ZMF3
23162	E9PFH7
57728	Q8NEZ3
57728	B4DGR6
55607	Q9ULJ8
55607	A4D1I0
55607	B7ZLX4
26030	A1L390
26030	A0A2X0SFH4
6621	Q5SXM2
6621	A0A024R8F4
63925	Q9H4Z2
63925	Q8IW09
2321	P17948
2321	L7RSL3
389690	Q6ZUA9
389690	Q6ZMW9
56946	Q7Z589
29102	Q9NRR4
3547	Q8N6C5
55339	Q9C0J8
124989	Q8IY85
2065	P21860
25960	Q96PE1
25960	D3DSW5
25960	Q6YN44
22985	Q9UKV3
22985	B4DQZ7
151246	Q562F6
151246	B7Z7S9
203238	Q6TFL3
29881	Q9UHC9
29881	A0A0C4DFX6
2906	O15399
2906	Q59G17
8518	O95163
8518	A0A6Q8PF66
8518	A0A6Q8PGW3
8518	A0A6Q8PHC9
8518	B3KNB2
8518	B4E3I9
8518	F5H2T0
8518	Q4LE38
8518	Q8N516
7498	P47989
27031	Q7Z494
26047	Q9UHC6
26047	A0A090N7T7
26047	B2RCH4
388015	A6NKG5
388015	B9EK54
85417	Q8WWL7
2334	P51816
374977	Q68CQ1
374977	B4DXB3
374977	B7Z7S6
23178	Q96RG2
23178	B7Z7R6
23178	B7Z7V7
254048	Q6ZU65
79567	Q6ZS17
23211	Q9UPT8
55215	Q9NVI1
55215	B3KNW8
8647	O95342
9204	O95789
9043	O60271
9043	Q5JB53
23245	O75129
23245	B3KN99
23245	B7ZKP4
23245	B7ZKP5
23245	X6R5P2
27164	Q9BXA9
27164	A0A384MEH2
27164	A9JR48
55818	Q9Y4C1
55626	Q9C0C7
55626	A0A075B6T1
445815	Q8IXS6
445815	Q9Y2D5
4734	P46934
84665	Q86TC9
84665	A0A087WX60
2889	Q13905
144100	Q6IQ23
144100	E9PKC0
57662	Q9P1Y5
199223	Q8NDW8
140469	Q8WXR4
140469	B7ZM71
79809	Q7Z4L5
79809	A8KA77
6299	Q9NSC2
27148	Q9NRP7
27148	A0A140VJW1
11276	Q9UMZ2
166647	Q8IWK6
116966	Q8IZU2
51742	Q4LE39
63891	Q5XPI4
23090	Q2M1K9
23090	B3KNG7
23090	B7Z9C7
23090	F5H7S1
54825	Q9BYE9
26056	Q9BXF6
26056	Q9UFM0
25925	Q96K83
25925	J3KTI4
25925	Q8IYZ2
22848	Q2M2I8
4330	Q10571
4330	A0A024R1C3
2066	Q15303
23242	O75128
4897	Q92823
4897	B7Z670
4897	C9JYY6
4897	Q14CA1
5189	O43933
5189	A0A0C4DG33
5189	B4DER6
388939	A6NGG8
79813	Q9H9B1
79813	A0A1B0GV09
57509	Q9ULD2
1636	P12821
1636	B4DKH4
22795	Q14112
57642	Q9P218
57608	Q9P266
23451	O75533
23451	B4DGZ4
3645	P14616
55205	Q9HCE3
55205	A0A024R283
55205	B3KXW2
132884	Q86UK5
221322	Q96NH3
26053	Q8WXX7
9064	O95382
6311	Q99700
6311	F8VQP2
6311	Q2M2R5
22874	Q9Y2H5
4054	Q9NS15
4054	B9EG76
4054	Q8WYU6
8864	O15055
23223	Q5JTH9
23223	B3KMR5
63923	Q9UQP3
63923	B3KXB6
1729	O60610
1729	A0A2R8Y5N1
1729	Q6URC4
4646	Q9UM54
460	O14525
460	A6H8Y4
460	B1AJS1
84952	Q0VF96
7227	Q9UHF7
58506	Q9H7N4
4607	Q14896
4607	A5YM48
347365	Q6UXX5
4798	Q6P4R8
4798	A0A024R3K9
9882	O60343
9882	A0A3B3IRT3
9869	Q15047
89932	O95428
89932	B3KXI1
10051	Q9NTJ3
10051	B3KXX5
10051	E9PD53
10051	Q58F29
5187	O15534
57685	Q5VU97
57685	A0A0A0MQY7
57685	A0A3B3ISH2
22993	Q12766
22993	Q562E5
63893	Q9C0C9
143162	Q68DX3
143162	B4E1N9
1660	Q08211
1660	B3KU66
6491	Q15468
6491	A0A0A0MR87
6491	B7ZLW5
6491	E9PSF2
6491	Q7Z626
5949	P10745
56899	Q7Z6G8
56899	B1VKB5
56899	B7Z9I9
56899	Q6V0K8
5990	P48378
23613	Q9ULU4
23613	A0A087WVZ6
23613	A6H8Y8
23613	Q2HXV5
23613	Q569J9
56288	Q8TEW0
50939	Q9BZV3
50939	F1T0J3
57719	Q9HCE9
22898	A2RUS2
9814	A8K8P3
1639	Q14203
1639	Q6MZZ3
286204	Q5IJ48
3778	Q12791
3778	A0A087WZL8
3778	A0A1W2PP94
3778	A0A1W2PPY5
3778	A0A1W2PQK5
3778	A0A1W2PQU4
3778	A0A1W2PR56
3778	A0A1W2PR62
3778	A0A1W2PRN5
3778	A0A1W2PSD3
3778	B7ZMF5
3778	D5MRH1
3778	Q59FH2
3778	Q5SVJ7
3778	S4R453
51750	Q9NZ71
51750	R4IXY3
22937	Q12770
22937	B7Z6H0
79572	Q9H7F0
79572	A0A2R8Y635
5099	O60245
285600	Q8IV33
200403	Q502W6
200403	B7Z3D8
54986	Q96C45
317	O14727
25942	Q96ST3
57585	Q96RY5
57585	A7MD53
57585	B2RNX8
23263	O15068
150365	Q5TIA1
150365	Q4G0I1
8189	Q92797
8189	A0A024R0R6
63976	Q9HAZ2
26019	Q9HAU5
3636	O15357
9411	Q52LW3
2580	O14976
2580	B4DS37
23322	Q68CZ1
23322	A0A087WX34
23322	B7ZKJ9
23322	H3BPS4
23322	H3BV03
23322	I3L1B5
10919	Q96KQ7
10919	A0A024RCN9
10919	A2ABF8
10919	B7Z852
10919	Q59FM7
80725	Q9C0H9
2314	Q13045
23125	O94983
23125	B7ZM30
23125	I3L3W6
3069	Q00341
3069	A0A024R4E5
3069	B2R5V9
8500	Q13136
8500	B3KVS8
7407	P26640
7407	A0A024RCN6
4548	Q99707
4548	A0A6Q8PGK3
9640	Q92610
65059	Q70E73
65059	C9K0J5
647024	Q5T0Z8
3376	P41252
3376	Q6P0M4
3376	Q7L4K8
7174	P29144
7174	Q5VZU9
5926	P29374
5926	A0A024R657
5926	A0A024R680
5926	A0A024R6A2
5926	Q05CG0
23216	Q86TI0
23216	B9A6J6
23216	Q6PJJ8
23216	Q8NC59
171024	Q9UMS6
171024	B4E258
6744	P28290
6744	E7EUL7
6744	E9PHV5
55729	Q6VMQ6
55729	A0A024RAY1
55729	B3KNI7
55729	B3KQF8
51430	Q9UBS9
51430	A0A024R929
51430	A0A087WV04
51430	B4DYM4
7297	P29597
7297	A0A024R7E4
3897	P32004
8643	Q9Y6C5
8471	O14654
2064	P04626
2064	F5H1T4
2064	J3QLU9
2064	X5DNK3
57455	Q8N1G1
51455	Q9UBZ9
51455	Q49AI5
57722	Q8TDY8
114	P40145
114	A0A0K0K1K3
114	Q4F7X0
1501	Q9UQB3
1501	B4DJU1
1501	B4DRK2
1501	E7EPC8
8499	O75334
8499	B7Z7Y5
8499	G3V200
8499	H0YHK3
8499	Q4LE62
5205	O43520
79158	Q3T906
50937	Q4KMG0
57211	Q86SQ4
7862	P55201
6499	Q15477
6499	A0A1U9X8J1
9600	O00562
9600	A0A024R5I7
9600	B2R787
9866	O15016
9866	A0A2R8YEA1
57096	Q96KN7
57508	Q9H0H0
57508	A0A024QZ48
57508	J3KMZ7
54795	Q8TD43
54795	B4DIX5
64423	Q27J81
29	Q12979
29	B7Z2X0
29	B7Z683
29	B7Z7Z1
29	Q6ZT60
253714	Q6ZRQ5
146057	Q6IQ55
146057	Q8IWY7
54821	Q2NKX8
80216	Q96QP1
4868	O60500
4811	P14543
55764	Q9HBG6
55764	B3KUD1
55764	B4DST2
2122	Q03112
2122	A0A0C3SFZ7
2122	C7FEN9
1956	P00533
1956	B7Z2I3
1956	E7BSV0
1956	E9PFD7
1956	F2YGG7
1956	Q504U8
9748	Q9H2G2
4750	Q96PY6
4750	Q5JXL9
6522	P04920
6522	Q59GF1
23136	Q9Y2J2
23136	A0A0A0MRA8
23136	A8K968
9923	Q9NUA8
9923	B3KR52
9923	F8WAI8
9923	Q1RMZ5
5097	Q08174
5097	A8K0E7
5097	B4DUA8
5097	B4E2D8
5101	Q9HC56
5101	A7E2D9
5101	B7ZM79
5101	Q5VT82
5101	X5D7N0
57623	Q9P243
57623	B7Z6H1
57623	E9PBN4
57623	F8W7M8
57623	Q4KMQ4
57623	Q6PJQ2
26098	Q3B7T1
3720	Q92833
3667	P35568
57592	Q8N1G0
23328	O94885
26074	Q8NHU2
27127	Q8NDV3
4122	P49641
27154	Q9ULD4
65266	Q96J92
5331	Q01970
286077	Q6ZRV2
286077	Q71RB4
55230	Q9NVE5
10902	Q9H0E9
10902	B4DEG9
10902	B4DMS9
10902	B4DN43
1950	P01133
23301	Q8NDI1
23301	A0A140VK17
23301	A8K930
5428	P54098
5428	E5KNU5
138724	Q5VYM1
117583	Q8TEW8
4604	Q00872
4604	A8KAB1
4604	B3KPP3
4604	Q86TA8
4898	O43847
4898	G3V1R5
4898	Q6UUU9
146059	Q8IWY9
4299	P51825
4299	B4DJU9
4299	Q14C88
23327	Q96PU5
23327	A0A024R281
23327	A0A024R2A4
23327	B7Z2P9
23327	B7Z6K0
100652824	H7C5G6
2905	Q14957
2905	H0Y2V8
2905	O15398
2905	Q8IW23
9785	Q92620
55841	Q9ULE0
6508	P48751
139189	Q5KSL6
23287	Q9UPW5
23287	A0A024R288
23287	J3KNS1
9401	O94761
1314	P53621
80124	Q96JH7
57828	Q6ZRH7
57828	B8ZZI7
57828	Q32MQ2
22907	Q7L2E3
22907	H7BXY3
80223	Q6WKZ4
1659	Q14562
1659	B7Z8F4
1659	F5H658
1659	Q05CV4
1659	Q86YB2
5442	O00411
5442	Q4G0F4
57614	Q9P260
57614	A0A2R8Y566
57614	Q96ES0
140766	Q8WXS8
79848	Q1MSJ5
79848	Q9H688
